0.0031603253868670712,0.00021906547772232443
0.00013127361134747126,3.1060451874509454e-05
6.655879718461942e-06,1.9747603801079094e-06
7.933967450262086e-07,4.960433397371844e-09
4.7361748343092684e-08,8.821934796433509e-10
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
0.0031603253868670712,0.00021906547772232443
0.00013127361134747126,3.1060451874509454e-05
6.655879718461942e-06,1.9747603801079094e-06
7.933967450262086e-07,4.960433397371844e-09
4.7361748343092684e-08,8.821934796433509e-10
0.0031603253868670712,0.00021906547772232443
0.00013127361134747126,3.1060451874509454e-05
6.655879718461942e-06,1.9747603801079094e-06
7.933967450262086e-07,4.960433397371844e-09
4.7361748343092684e-08,8.821934796433509e-10
